State,Male,Female,"Unknown/
Other Gender",Total
Alabama,96,178,0,274
Arizona,35,73,7,115
Arkansas,48,104,0,152
California,448,857,1,1306
Colorado,22,30,0,52
Connecticut,47,100,0,147
District of Columbia,24,48,0,72
Florida,290,504,1,795
Georgia,160,291,0,451
Hawaii,32,46,1,79
Idaho,38,43,0,81
Illinois,311,459,0,770
Indiana,117,198,0,315
Iowa,71,135,0,206
Kansas,62,82,0,144
Kentucky,65,137,0,202
Louisiana,73,153,0,226
Maine,37,48,0,85
Maryland,69,148,0,217
Massachusetts,224,430,0,654
Michigan,132,196,0,328
Minnesota,67,99,0,166
Mississippi,46,115,0,161
Missouri,155,229,0,384
Montana,28,32,0,60
Nebraska,62,113,0,175
Nevada,98,112,0,210
New Jersey,93,173,0,266
New Mexico,26,40,0,66
New York,339,609,0,948
North Carolina,127,270,0,397
North Dakota,26,61,0,87
Ohio,226,371,0,597
Oklahoma,52,74,2,128
Oregon,54,118,2,174
Pennsylvania,362,552,1,915
Puerto Rico,12,36,0,48
Rhode Island,35,82,0,117
South Carolina,65,172,0,237
South Dakota,26,49,0,75
Tennessee,149,331,0,480
Texas,294,512,0,806
Utah,7,9,0,16
Virginia,84,178,0,262
Washington,102,169,0,271
West Virginia ,83,97,0,180
Wisconsin,103,171,1,275
Wyoming,24,27,0,51
Lebanon,0,0,0,0
Total,5146,9061,16,14223
