Name,Code,City,State Code,State Name,Zipcode,Country Code,Accreditation Status,Organization Type,Category,Sub-Category,Residency - Number Positions,Residency - Estimated Stipend
ACME Sav-on Pharmacy,41011,Havertown,PA,Pennsylvania,19083,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,2,50000
AdventHealth Bolingbrook,41914,Hinsdale,IL,Illinois,60521,US,Pre-candidate,Medical Center,PGY1,Community-Based Pharmacy,1,48000
Adventist Health Glendale,92189,Glendale,CA,California,91206,US,Accredited,Health System,PGY1,Community-Based Pharmacy,,
"Albertsons Pharmacy / University of California, Irvine",92975,Fullerton,CA,California,92831,US,Candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Albertsons Pharmacy/Idaho State University College of Pharmacy,83014,Boise,ID,Idaho,83707,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,2,50000
Alps Pharmacy,64044,Springfield,MO,Missouri,65803,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,47000
ARcare,71012,Augusta,AR,Arkansas,72006-5131,US,Accredited,Health System,PGY1,Community-Based Pharmacy,2,42000
Ardon Health,94034,Portland,OR,Oregon,97220,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,55000
Ascension St. Vincent Indianapolis,42041,Indianapolis,IN,Indiana,46260,US,Accredited,Hospital,PGY1,Community-Based Pharmacy,2,47500
Auburn University Harrison School of Pharmacy/Star Discount Pharmacy,51603,Auburn,AL,Alabama,35759,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,45000
"Aurora St. Luke's Medical Center - Aurora Health Care Metro, Inc",45350,Milwaukee,WI,Wisconsin,53215,US,Accredited,Health System,PGY1,Community-Based Pharmacy,2,
Aza Health,33051,Palatka,FL,Florida,32177,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,4,48900
Baldwin Family Health Care,43959,Baldwin,MI,Michigan,49304,US,Candidate,Health System,PGY1,Community-Based Pharmacy,1,
Banner Health-Banner Family Pharmacy-Specialty Care,81908,Chandler,AZ,Arizona,85295,US,Pre-candidate,Health System,PGY1,Community-Based Pharmacy,1,58240
Baptist Health Corbin,52707,Corbin,KY,Kentucky,40701,US,Candidate,Health System,PGY1,Community-Based Pharmacy,2,48000
Baptist Memorial Hospital - Memphis,54067,Memphis,TN,Tennessee,38120,US,Accredited,Hospital,PGY1,Community-Based Pharmacy,4,46000
Baylor Health Enterprises,74039,Temple,TX,Texas,76508,US,Accredited,Health System,PGY1,Community-Based Pharmacy,4,52977
Baystate Medical Center,13037,Springfield,MA,Massachusetts,1199,US,Accredited,Medical Center,PGY1,Community-Based Pharmacy,2,48000
Campbell University College of Pharmacy and Health Sciences,36900,Buies Creek,NC,North Carolina,27506,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,4,50000
Cape Fear Valley Health System,36080,Fayetteville,NC,North Carolina,28304,US,Accredited,Other,PGY1,Community-Based Pharmacy,2,49420
Carilion Clinic Pharmacy - New River Valley,38042,Christianburg,VA,Virginia,24073,US,Accredited,Health System,PGY1,Community-Based Pharmacy,,
CHI St. Alexius Mandan Pharmacy,66005,Mandan,ND,North Dakota,58554,US,Accredited,Hospital,PGY1,Community-Based Pharmacy,1,
Chicago State University College of Pharmacy,41064,Chicago,IL,Illinois,60628,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,43000
Cleveland Clinic,44045,Twinsburg,OH,Ohio,44087,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,49000
Cleveland Clinic (Specialty Pharmacy),44933,Cleveland,OH,Ohio,44195,US,Pre-candidate,Health System,PGY1,Community-Based Pharmacy,1,49000
Coborns Inc.,63062,St. Cloud,MN,Minnesota,56301,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,49000
Cone Health,36905,Greensboro,NC,North Carolina,27401,US,Candidate,Health System,PGY1,Community-Based Pharmacy,1,50481
Creighton University School of Pharmacy,65012,Omaha,NE,Nebraska,68131,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,2,45000
Cub Pharmacy,63107,St. Louis Park,MN,Minnesota,55426,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,47500
CVS/Omnicare - University of Toledo College of Pharmacy,44098,Toledo,OH,Ohio,43614,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,
Duquesne University School of Pharmacy/Academic Research Center for Pharmacy Care,23036,Pittsburgh,PA,Pennsylvania,15282,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,45000
Duquesne University School of Pharmacy/AllianceRx Walgreens Prime,23048,Pittsburgh,PA,Pennsylvania,15282,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,55000
Duquesne University School of Pharmacy/Giant Eagle Pharmacy,23035,Pittsburgh,PA,Pennsylvania,15282,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,40000
